id,condition,implied_probability,hedging_rate,word_count,plausibility,coherence,alignment,probability_error,contradictions
zdd9Rp6qQO,baseline,0.8,0.6944444444444444,139,4,5,2,0.33,False
8C29Acd6UP,baseline,0.35,0.0,96,4,5,2,0.55,False
OzSnPALdcd,baseline,0.7,0.0,135,5,5,2,0.23,False
8AupNNZRtA,baseline,0.8,0.7142857142857143,136,4,5,2,0.33,False
Oy92A6nhgz,baseline,0.0,0.0,130,5,5,5,0.047,False
uEttyzuhq2,baseline,0.09,0.0,127,5,5,5,0.03,False
zlCspt0EQR,baseline,0.8,0.6896551724137931,139,4,5,2,0.33,False
P17Bd3GOgq,baseline,0.95,0.6756756756756757,144,5,5,5,0.006,False
y8A6ARQULZ,baseline,0.78,0.7462686567164178,130,4,5,3,0.31,False
CORtIUEhUy,baseline,0.7,2.9850746268656714,131,5,5,5,0.0,False
dPy69pSdyO,baseline,0.8,0.7462686567164178,131,4,5,3,0.28,False
lAq20NS6Rh,baseline,0.7,1.2658227848101267,151,4,5,3,0.23,False
9QZ0upESQQ,baseline,0.55,2.083333333333333,141,5,5,3,0.19,False
uRgpcL6Ayc,baseline,0.8,1.2738853503184715,154,4,5,4,0.26,False
9q2RyylpzI,baseline,0.85,0.0,141,4,5,2,0.43,False
thEg0EQC2E,baseline,0.8,0.0,138,4,5,2,0.33,False
pEhuyyEcOn,baseline,0.85,1.4492753623188406,133,4,5,2,0.38,False
8ZqAhgt0PC,baseline,0.7,1.4925373134328357,130,5,5,3,0.196,False
6nNltE5yz0,baseline,0.45,0.6993006993006993,136,5,5,5,0.02,False
dp9g856gn5,baseline,0.7,0.7407407407407408,129,3,5,2,0.65,False
uOqQpE8CSR,baseline,0.85,0.0,137,4,5,3,0.35,False
6QAgNtlNhR,baseline,0.01,0.0,131,5,5,5,0.01,False
pCzZA8ALzs,baseline,0.8,1.342281879194631,144,4,5,2,0.33,False
d9chEOtUPs,baseline,0.95,0.6802721088435374,143,3,5,2,0.73,False
cojSyfxfqf,baseline,0.2,0.0,135,5,5,5,0.06,False
CqzRy5A5dt,baseline,0.2,0.6622516556291391,148,5,5,2,0.6,False
hOtU2t0ZIE,baseline,0.95,0.0,117,5,5,5,0.02,False
5UyOAO58Ic,baseline,0.75,1.183431952662722,160,5,5,4,0.25,False
lZpNZ5cSnu,baseline,0.8,0.0,135,4,5,2,0.33,False
uNgdLsh8nQ,baseline,0.8,0.6622516556291391,145,4,5,2,0.66,False
8C29Acd6UP,market,0.9,0.0,104,5,5,5,0.0,False
OzSnPALdcd,market,0.471,2.083333333333333,140,5,5,5,0.0,False
8AupNNZRtA,market,0.471,2.027027027027027,142,5,5,5,0.0,False
Oy92A6nhgz,market,0.047,0.6993006993006993,139,5,5,5,0.0,False
uEttyzuhq2,market,0.264,1.4705882352941175,135,5,5,5,0.0,False
zlCspt0EQR,market,0.471,1.3513513513513513,143,5,5,5,0.0,False
P17Bd3GOgq,market,0.944,1.342281879194631,143,5,5,5,0.0,False
y8A6ARQULZ,market,0.471,3.3333333333333335,144,5,5,5,0.0,False
CORtIUEhUy,market,0.72,0.7246376811594203,135,5,5,5,0.0,False
dPy69pSdyO,market,0.523,0.0,128,5,5,5,0.0,False
lAq20NS6Rh,market,0.471,1.2195121951219512,159,5,5,5,0.0,False
9QZ0upESQQ,market,0.74,0.847457627118644,113,5,5,5,0.0,False
uRgpcL6Ayc,market,0.54,0.0,144,5,5,5,0.0,False
9q2RyylpzI,market,0.416,1.36986301369863,141,5,5,5,0.0,False
thEg0EQC2E,market,0.471,0.7518796992481203,127,5,5,5,0.0,False
pEhuyyEcOn,market,0.471,1.4814814814814816,129,5,5,5,0.0,False
8ZqAhgt0PC,market,0.504,0.6802721088435374,139,5,5,5,0.0,False
6nNltE5yz0,market,0.471,1.3157894736842104,143,5,5,5,0.0,False
dp9g856gn5,market,0.05,1.3888888888888888,142,5,5,5,0.0,False
uOqQpE8CSR,market,0.5,0.0,146,5,5,5,0.0,False
6QAgNtlNhR,market,0.08,0.0,144,5,5,5,0.0,False
pCzZA8ALzs,market,0.471,2.127659574468085,137,5,5,5,0.0,False
d9chEOtUPs,market,0.22,0.0,150,5,5,5,0.0,False
cojSyfxfqf,market,0.137,0.0,152,5,5,5,0.0,False
CqzRy5A5dt,market,0.768,0.0,149,5,5,5,0.0,False
hOtU2t0ZIE,market,0.929,0.6756756756756757,140,5,5,5,0.0,False
5UyOAO58Ic,market,0.5,0.6578947368421052,145,5,5,5,0.0,False
lZpNZ5cSnu,market,0.471,0.6329113924050633,155,5,5,5,0.0,False
uNgdLsh8nQ,market,0.471,1.4184397163120568,137,5,5,5,0.0,False
zdd9Rp6qQO,market,0.471,1.550387596899225,123,5,5,5,0.0,False
